{'BatchDate': '2020-01-30 23:57:13', 'StartingDate': '2020-01-30 22:57:03', 'EndingDate': '2020-01-30 23:57:02', 'Delay': '0h59min', 'nRT': 16217, 'nInf': 2377, 'nFam': 3112, 'nUse': 12176}
{'BatchDate': '2020-01-31 00:57:11', 'StartingDate': '2020-01-30 23:57:02', 'EndingDate': '2020-01-31 00:56:59', 'Delay': '0h59min', 'nRT': 10207, 'nInf': 1833, 'nFam': 2268, 'nUse': 7823}
{'BatchDate': '2020-01-31 01:57:10', 'StartingDate': '2020-01-31 00:57:01', 'EndingDate': '2020-01-31 01:56:59', 'Delay': '0h59min', 'nRT': 6353, 'nInf': 1365, 'nFam': 1704, 'nUse': 4744}
{'BatchDate': '2020-01-31 02:57:08', 'StartingDate': '2020-01-31 01:57:00', 'EndingDate': '2020-01-31 02:56:56', 'Delay': '0h59min', 'nRT': 3780, 'nInf': 935, 'nFam': 1112, 'nUse': 2851}
{'BatchDate': '2020-01-31 03:57:08', 'StartingDate': '2020-01-31 02:56:56', 'EndingDate': '2020-01-31 03:56:55', 'Delay': '0h59min', 'nRT': 2302, 'nInf': 683, 'nFam': 778, 'nUse': 1784}
{'BatchDate': '2020-01-31 04:57:08', 'StartingDate': '2020-01-31 03:56:55', 'EndingDate': '2020-01-31 04:56:48', 'Delay': '0h59min', 'nRT': 2176, 'nInf': 665, 'nFam': 789, 'nUse': 1538}
{'BatchDate': '2020-01-31 05:57:08', 'StartingDate': '2020-01-31 04:56:49', 'EndingDate': '2020-01-31 05:56:53', 'Delay': '1h0min', 'nRT': 2164, 'nInf': 680, 'nFam': 833, 'nUse': 1478}
{'BatchDate': '2020-01-31 06:57:09', 'StartingDate': '2020-01-31 05:56:54', 'EndingDate': '2020-01-31 06:56:58', 'Delay': '1h0min', 'nRT': 4454, 'nInf': 1012, 'nFam': 1243, 'nUse': 3247}
{'BatchDate': '2020-01-31 07:57:10', 'StartingDate': '2020-01-31 06:56:59', 'EndingDate': '2020-01-31 07:56:59', 'Delay': '1h0min', 'nRT': 9848, 'nInf': 1543, 'nFam': 1929, 'nUse': 7367}
{'BatchDate': '2020-01-31 08:57:12', 'StartingDate': '2020-01-31 07:56:59', 'EndingDate': '2020-01-31 08:57:00', 'Delay': '1h0min', 'nRT': 11795, 'nInf': 1780, 'nFam': 2240, 'nUse': 8795}
{'BatchDate': '2020-01-31 09:57:12', 'StartingDate': '2020-01-31 08:57:00', 'EndingDate': '2020-01-31 09:57:01', 'Delay': '1h0min', 'nRT': 12754, 'nInf': 1868, 'nFam': 2385, 'nUse': 9589}
{'BatchDate': '2020-01-31 10:57:12', 'StartingDate': '2020-01-31 09:57:02', 'EndingDate': '2020-01-31 10:57:01', 'Delay': '0h59min', 'nRT': 12997, 'nInf': 1946, 'nFam': 2432, 'nUse': 9919}
{'BatchDate': '2020-01-31 11:57:12', 'StartingDate': '2020-01-31 10:57:02', 'EndingDate': '2020-01-31 11:57:01', 'Delay': '0h59min', 'nRT': 14013, 'nInf': 1982, 'nFam': 2481, 'nUse': 10705}
{'BatchDate': '2020-01-31 12:57:13', 'StartingDate': '2020-01-31 11:57:01', 'EndingDate': '2020-01-31 12:57:02', 'Delay': '1h0min', 'nRT': 14525, 'nInf': 2024, 'nFam': 2502, 'nUse': 11302}
{'BatchDate': '2020-01-31 13:57:12', 'StartingDate': '2020-01-31 12:57:03', 'EndingDate': '2020-01-31 13:57:02', 'Delay': '0h59min', 'nRT': 14154, 'nInf': 2028, 'nFam': 2512, 'nUse': 11102}
{'BatchDate': '2020-01-31 14:57:12', 'StartingDate': '2020-01-31 13:57:02', 'EndingDate': '2020-01-31 14:57:02', 'Delay': '1h0min', 'nRT': 11797, 'nInf': 1914, 'nFam': 2392, 'nUse': 9277}
{'BatchDate': '2020-01-31 15:57:11', 'StartingDate': '2020-01-31 14:57:02', 'EndingDate': '2020-01-31 15:57:00', 'Delay': '0h59min', 'nRT': 10769, 'nInf': 1823, 'nFam': 2277, 'nUse': 8589}
{'BatchDate': '2020-01-31 16:57:12', 'StartingDate': '2020-01-31 15:57:01', 'EndingDate': '2020-01-31 16:56:58', 'Delay': '0h59min', 'nRT': 10761, 'nInf': 1835, 'nFam': 2293, 'nUse': 8469}
{'BatchDate': '2020-01-31 17:57:12', 'StartingDate': '2020-01-31 16:56:58', 'EndingDate': '2020-01-31 17:57:01', 'Delay': '1h0min', 'nRT': 11952, 'nInf': 1901, 'nFam': 2363, 'nUse': 9401}
{'BatchDate': '2020-01-31 18:57:12', 'StartingDate': '2020-01-31 17:57:01', 'EndingDate': '2020-01-31 18:57:00', 'Delay': '0h59min', 'nRT': 13028, 'nInf': 1969, 'nFam': 2473, 'nUse': 10083}
{'BatchDate': '2020-01-31 19:57:13', 'StartingDate': '2020-01-31 18:57:01', 'EndingDate': '2020-01-31 19:57:01', 'Delay': '1h0min', 'nRT': 12879, 'nInf': 1956, 'nFam': 2480, 'nUse': 10077}
{'BatchDate': '2020-01-31 20:57:13', 'StartingDate': '2020-01-31 19:57:02', 'EndingDate': '2020-01-31 20:57:01', 'Delay': '0h59min', 'nRT': 12647, 'nInf': 2060, 'nFam': 2584, 'nUse': 9928}
