{'NoldRTDF': 352809, 'NnewRTDF': 102133, 'FirstDateOld': '2020-01-30 00:25:17', 'LastDateOld': '2020-02-03 13:57:03', 'FirstDateNew': '2020-02-02 08:25:18', 'LastDateNew': '2020-02-03 13:57:03'}
{'NoldRTDF': 356989, 'NnewRTDF': 106313, 'FirstDateOld': '2020-01-30 00:25:17', 'LastDateOld': '2020-02-03 14:57:03', 'FirstDateNew': '2020-02-02 08:25:18', 'LastDateNew': '2020-02-03 14:57:03'}
{'NoldRTDF': 360983, 'NnewRTDF': 110307, 'FirstDateOld': '2020-01-30 00:25:17', 'LastDateOld': '2020-02-03 15:57:02', 'FirstDateNew': '2020-02-02 08:25:18', 'LastDateNew': '2020-02-03 15:57:02'}
{'NoldRTDF': 365212, 'NnewRTDF': 114536, 'FirstDateOld': '2020-01-30 00:25:17', 'LastDateOld': '2020-02-03 16:57:00', 'FirstDateNew': '2020-02-02 08:25:18', 'LastDateNew': '2020-02-03 16:57:00'}
{'NoldRTDF': 370650, 'NnewRTDF': 119974, 'FirstDateOld': '2020-01-30 00:25:17', 'LastDateOld': '2020-02-03 17:57:01', 'FirstDateNew': '2020-02-02 08:25:18', 'LastDateNew': '2020-02-03 17:57:01'}
{'NoldRTDF': 376863, 'NnewRTDF': 126187, 'FirstDateOld': '2020-01-30 00:25:17', 'LastDateOld': '2020-02-03 18:57:02', 'FirstDateNew': '2020-02-02 08:25:18', 'LastDateNew': '2020-02-03 18:57:02'}
{'NoldRTDF': 383232, 'NnewRTDF': 132556, 'FirstDateOld': '2020-01-30 00:25:17', 'LastDateOld': '2020-02-03 19:57:01', 'FirstDateNew': '2020-02-02 08:25:18', 'LastDateNew': '2020-02-03 19:57:01'}
{'NoldRTDF': 382793, 'NnewRTDF': 132117, 'FirstDateOld': '2020-01-30 00:25:17', 'LastDateOld': '2020-02-03 20:57:04', 'FirstDateNew': '2020-02-02 08:25:18', 'LastDateNew': '2020-02-03 20:57:04'}
{'NoldRTDF': 389038, 'NnewRTDF': 138362, 'FirstDateOld': '2020-01-30 00:25:17', 'LastDateOld': '2020-02-03 21:57:05', 'FirstDateNew': '2020-02-02 08:25:18', 'LastDateNew': '2020-02-03 21:57:05'}
{'NoldRTDF': 397698, 'NnewRTDF': 147022, 'FirstDateOld': '2020-01-30 00:25:17', 'LastDateOld': '2020-02-03 22:57:07', 'FirstDateNew': '2020-02-02 08:25:18', 'LastDateNew': '2020-02-03 22:57:07'}
{'NoldRTDF': 407238, 'NnewRTDF': 156562, 'FirstDateOld': '2020-01-30 00:25:17', 'LastDateOld': '2020-02-03 23:57:04', 'FirstDateNew': '2020-02-02 08:25:18', 'LastDateNew': '2020-02-03 23:57:04'}
{'NoldRTDF': 413822, 'NnewRTDF': 163146, 'FirstDateOld': '2020-01-30 00:25:17', 'LastDateOld': '2020-02-04 00:57:02', 'FirstDateNew': '2020-02-02 08:25:18', 'LastDateNew': '2020-02-04 00:57:02'}
{'NoldRTDF': 417508, 'NnewRTDF': 166832, 'FirstDateOld': '2020-01-30 00:25:17', 'LastDateOld': '2020-02-04 01:56:58', 'FirstDateNew': '2020-02-02 08:25:18', 'LastDateNew': '2020-02-04 01:56:58'}
{'NoldRTDF': 419484, 'NnewRTDF': 168808, 'FirstDateOld': '2020-01-30 00:25:17', 'LastDateOld': '2020-02-04 02:57:01', 'FirstDateNew': '2020-02-02 08:25:18', 'LastDateNew': '2020-02-04 02:57:01'}
{'NoldRTDF': 420750, 'NnewRTDF': 170074, 'FirstDateOld': '2020-01-30 00:25:17', 'LastDateOld': '2020-02-04 03:56:47', 'FirstDateNew': '2020-02-02 08:25:18', 'LastDateNew': '2020-02-04 03:56:47'}
{'NoldRTDF': 409627, 'NnewRTDF': 158951, 'FirstDateOld': '2020-01-30 00:25:17', 'LastDateOld': '2020-02-04 04:56:43', 'FirstDateNew': '2020-02-02 08:25:18', 'LastDateNew': '2020-02-04 04:56:43'}
{'NoldRTDF': 409886, 'NnewRTDF': 159210, 'FirstDateOld': '2020-01-30 00:25:17', 'LastDateOld': '2020-02-04 05:56:11', 'FirstDateNew': '2020-02-02 08:25:18', 'LastDateNew': '2020-02-04 05:56:11'}
{'NoldRTDF': 410545, 'NnewRTDF': 159869, 'FirstDateOld': '2020-01-30 00:25:17', 'LastDateOld': '2020-02-04 06:56:53', 'FirstDateNew': '2020-02-02 08:25:18', 'LastDateNew': '2020-02-04 06:56:53'}
{'NoldRTDF': 412401, 'NnewRTDF': 161725, 'FirstDateOld': '2020-01-30 00:25:17', 'LastDateOld': '2020-02-04 07:57:01', 'FirstDateNew': '2020-02-02 08:25:18', 'LastDateNew': '2020-02-04 07:57:01'}
{'NoldRTDF': 415245, 'NnewRTDF': 164569, 'FirstDateOld': '2020-01-30 00:25:17', 'LastDateOld': '2020-02-04 08:57:00', 'FirstDateNew': '2020-02-02 08:25:18', 'LastDateNew': '2020-02-04 08:57:00'}
{'NoldRTDF': 418955, 'NnewRTDF': 168279, 'FirstDateOld': '2020-01-30 00:25:17', 'LastDateOld': '2020-02-04 09:57:05', 'FirstDateNew': '2020-02-02 08:25:18', 'LastDateNew': '2020-02-04 09:57:05'}
