{'DateRun': '2020-01-30 22:57:28', 'FirstBassineID': 54875, 'DateLastAction': '2020-01-30 22:57:03', 'NQualifiedRTA': 34399, 'NQualifiedRTB': 0, 'NRelevantTweets': 0, 'TotalNRelevantTweets': 1195}
{'DateRun': '2020-01-30 23:57:27', 'FirstBassineID': 54875, 'DateLastAction': '2020-01-30 23:57:02', 'NQualifiedRTA': 43852, 'NQualifiedRTB': 0, 'NRelevantTweets': 0, 'TotalNRelevantTweets': 1195}
{'DateRun': '2020-01-31 00:57:24', 'FirstBassineID': 54875, 'DateLastAction': '2020-01-31 00:56:59', 'NQualifiedRTA': 49601, 'NQualifiedRTB': 0, 'NRelevantTweets': 0, 'TotalNRelevantTweets': 1195}
{'DateRun': '2020-01-31 01:57:23', 'FirstBassineID': 54875, 'DateLastAction': '2020-01-31 01:56:59', 'NQualifiedRTA': 53194, 'NQualifiedRTB': 0, 'NRelevantTweets': 0, 'TotalNRelevantTweets': 1195}
{'DateRun': '2020-01-31 02:57:21', 'FirstBassineID': 54875, 'DateLastAction': '2020-01-31 02:56:56', 'NQualifiedRTA': 55333, 'NQualifiedRTB': 0, 'NRelevantTweets': 0, 'TotalNRelevantTweets': 1195}
{'DateRun': '2020-01-31 03:57:21', 'FirstBassineID': 54875, 'DateLastAction': '2020-01-31 03:56:55', 'NQualifiedRTA': 56578, 'NQualifiedRTB': 0, 'NRelevantTweets': 0, 'TotalNRelevantTweets': 1195}
{'DateRun': '2020-01-31 04:57:21', 'FirstBassineID': 54875, 'DateLastAction': '2020-01-31 04:56:48', 'NQualifiedRTA': 57904, 'NQualifiedRTB': 42915, 'NRelevantTweets': 735, 'TotalNRelevantTweets': 1930}
{'DateRun': '2020-01-31 05:57:20', 'FirstBassineID': 54876, 'DateLastAction': '2020-01-31 05:56:53', 'NQualifiedRTA': 2702, 'NQualifiedRTB': 0, 'NRelevantTweets': 0, 'TotalNRelevantTweets': 1930}
{'DateRun': '2020-01-31 06:57:21', 'FirstBassineID': 54876, 'DateLastAction': '2020-01-31 06:56:58', 'NQualifiedRTA': 3315, 'NQualifiedRTB': 0, 'NRelevantTweets': 0, 'TotalNRelevantTweets': 1930}
{'DateRun': '2020-01-31 07:57:23', 'FirstBassineID': 54876, 'DateLastAction': '2020-01-31 07:56:59', 'NQualifiedRTA': 4656, 'NQualifiedRTB': 0, 'NRelevantTweets': 0, 'TotalNRelevantTweets': 1930}
{'DateRun': '2020-01-31 08:57:24', 'FirstBassineID': 54876, 'DateLastAction': '2020-01-31 08:57:00', 'NQualifiedRTA': 6830, 'NQualifiedRTB': 0, 'NRelevantTweets': 0, 'TotalNRelevantTweets': 1930}
{'DateRun': '2020-01-31 09:57:25', 'FirstBassineID': 54876, 'DateLastAction': '2020-01-31 09:57:01', 'NQualifiedRTA': 9745, 'NQualifiedRTB': 0, 'NRelevantTweets': 0, 'TotalNRelevantTweets': 1930}
{'DateRun': '2020-01-31 10:57:25', 'FirstBassineID': 54876, 'DateLastAction': '2020-01-31 10:57:01', 'NQualifiedRTA': 12964, 'NQualifiedRTB': 0, 'NRelevantTweets': 0, 'TotalNRelevantTweets': 1930}
{'DateRun': '2020-01-31 11:57:25', 'FirstBassineID': 54876, 'DateLastAction': '2020-01-31 11:57:01', 'NQualifiedRTA': 17054, 'NQualifiedRTB': 0, 'NRelevantTweets': 0, 'TotalNRelevantTweets': 1930}
{'DateRun': '2020-01-31 12:57:26', 'FirstBassineID': 54876, 'DateLastAction': '2020-01-31 12:57:02', 'NQualifiedRTA': 21873, 'NQualifiedRTB': 6015, 'NRelevantTweets': 307, 'TotalNRelevantTweets': 2237}
{'DateRun': '2020-01-31 13:57:25', 'FirstBassineID': 54877, 'DateLastAction': '2020-01-31 13:57:02', 'NQualifiedRTA': 15969, 'NQualifiedRTB': 0, 'NRelevantTweets': 0, 'TotalNRelevantTweets': 2237}
{'DateRun': '2020-01-31 14:57:25', 'FirstBassineID': 54877, 'DateLastAction': '2020-01-31 14:57:02', 'NQualifiedRTA': 20165, 'NQualifiedRTB': 0, 'NRelevantTweets': 0, 'TotalNRelevantTweets': 2237}
{'DateRun': '2020-01-31 15:57:25', 'FirstBassineID': 54877, 'DateLastAction': '2020-01-31 15:57:00', 'NQualifiedRTA': 23940, 'NQualifiedRTB': 0, 'NRelevantTweets': 0, 'TotalNRelevantTweets': 2237}
{'DateRun': '2020-01-31 16:57:25', 'FirstBassineID': 54877, 'DateLastAction': '2020-01-31 16:56:58', 'NQualifiedRTA': 27960, 'NQualifiedRTB': 0, 'NRelevantTweets': 0, 'TotalNRelevantTweets': 2237}
{'DateRun': '2020-01-31 17:57:25', 'FirstBassineID': 54877, 'DateLastAction': '2020-01-31 17:57:01', 'NQualifiedRTA': 32876, 'NQualifiedRTB': 0, 'NRelevantTweets': 0, 'TotalNRelevantTweets': 2237}
